iter	Passed	Remaining
0	46	46702
1	47	23496
2	47	15749
3	47	11863
4	47	9537
5	48	7989
6	48	6874
7	48	6037
8	48	5388
9	49	4869
10	49	4446
11	49	4091
12	49	3791
13	50	3533
14	50	3310
15	50	3115
16	50	2942
17	51	2789
18	51	2651
19	51	2528
20	51	2417
21	52	2316
22	52	2224
23	52	2138
24	52	2061
25	53	1989
26	53	1923
27	53	1861
28	53	1803
29	54	1749
30	54	1698
31	54	1651
32	54	1607
33	55	1565
34	55	1525
35	55	1487
36	55	1451
37	56	1418
38	56	1386
39	56	1356
40	56	1327
41	57	1300
42	57	1274
43	57	1248
44	57	1224
45	57	1201
46	58	1179
47	58	1158
48	58	1138
49	58	1119
50	59	1100
51	59	1083
52	59	1066
53	59	1049
54	60	1033
55	60	1017
56	60	1002
57	60	988
58	61	974
59	61	960
60	61	948
61	61	935
62	62	923
63	62	911
64	62	900
65	62	889
66	63	878
67	63	866
68	63	856
69	63	846
70	63	836
71	64	826
72	64	817
73	64	808
74	64	799
75	65	790
76	65	782
77	65	775
78	65	767
79	66	759
80	66	752
81	66	744
82	66	737
83	66	730
84	67	722
85	67	716
86	67	708
87	67	702
88	68	696
89	68	690
90	68	684
91	68	679
92	69	673
93	69	668
94	69	662
95	69	657
96	70	651
97	70	646
98	70	641
99	70	636
100	70	631
101	71	625
102	71	621
103	71	616
104	71	612
105	72	607
106	72	603
107	72	599
108	72	595
109	73	591
110	73	587
111	73	583
112	73	580
113	74	576
114	74	572
115	74	568
116	74	564
117	75	561
118	75	557
119	75	553
120	75	549
121	75	546
122	76	542
123	76	538
124	76	535
125	76	532
126	76	529
127	77	525
128	77	522
129	77	519
130	77	516
131	78	513
132	78	510
133	78	507
134	78	504
135	78	501
136	79	498
137	79	495
138	79	492
139	79	490
140	80	487
141	80	484
142	80	482
143	80	479
144	80	477
145	81	474
146	81	472
147	81	469
148	81	467
149	82	465
150	82	462
151	82	460
152	82	458
153	83	455
154	83	453
155	83	451
156	83	449
157	83	447
158	84	445
159	84	442
160	84	440
161	84	438
162	85	436
163	85	434
164	85	432
165	85	430
166	85	428
167	86	426
168	86	424
169	86	422
170	86	421
171	87	419
172	87	417
173	87	415
174	87	413
175	87	411
176	88	410
177	88	408
178	88	406
179	88	404
180	88	402
181	89	400
182	89	399
183	89	397
184	89	395
185	90	394
186	90	392
187	90	391
188	90	389
189	91	388
190	91	386
191	91	384
192	91	383
193	91	381
194	92	380
195	92	378
196	92	377
197	92	375
198	93	374
199	93	373
200	93	371
201	93	370
202	93	368
203	94	367
204	94	366
205	94	364
206	94	363
207	95	361
208	95	360
209	95	359
210	95	358
211	95	356
212	96	355
213	96	354
214	96	352
215	96	351
216	97	350
217	97	349
218	97	347
219	97	346
220	98	345
221	98	344
222	98	343
223	98	341
224	98	340
225	99	339
226	99	338
227	99	337
228	99	336
229	100	334
230	100	333
231	100	332
232	100	331
233	100	330
234	101	329
235	101	328
236	101	327
237	101	326
238	102	325
239	102	323
240	102	322
241	102	321
242	102	320
243	103	319
244	103	318
245	103	317
246	103	316
247	104	315
248	104	314
249	104	313
250	104	312
251	104	311
252	105	310
253	105	309
254	105	308
255	105	307
256	106	307
257	106	306
258	106	305
259	106	304
260	107	303
261	107	302
262	107	301
263	107	300
264	108	299
265	108	298
266	108	297
267	108	297
268	108	296
269	109	295
270	109	294
271	109	293
272	109	292
273	110	291
274	110	290
275	110	290
276	110	289
277	111	288
278	111	287
279	111	286
280	111	285
281	111	285
282	112	284
283	112	283
284	112	282
285	112	281
286	113	281
287	113	280
288	113	279
289	113	278
290	114	277
291	114	277
292	114	276
293	114	275
294	115	274
295	115	274
296	115	273
297	115	272
298	115	271
299	116	271
300	116	270
301	116	269
302	116	268
303	117	268
304	117	267
305	117	266
306	117	265
307	118	265
308	118	264
309	118	263
310	118	263
311	118	262
312	119	261
313	119	260
314	119	260
315	119	259
316	120	258
317	120	258
318	120	257
319	120	256
320	121	256
321	121	255
322	121	254
323	121	253
324	121	253
325	122	252
326	122	251
327	122	251
328	122	250
329	123	249
330	123	249
331	123	248
332	123	247
333	124	247
334	124	246
335	124	245
336	124	245
337	124	244
338	125	244
339	125	243
340	125	242
341	125	242
342	126	241
343	126	240
344	126	240
345	126	239
346	126	238
347	127	238
348	127	237
349	127	237
350	127	236
351	128	235
352	128	235
353	128	234
354	128	233
355	129	233
356	129	232
357	129	232
358	129	231
359	129	230
360	130	230
361	130	229
362	130	229
363	130	228
364	131	227
365	131	227
366	131	226
367	131	226
368	131	225
369	132	225
370	132	224
371	132	224
372	132	223
373	133	222
374	133	222
375	133	221
376	133	221
377	134	220
378	134	220
379	134	219
380	134	218
381	135	218
382	135	217
383	135	217
384	135	216
385	135	216
386	136	215
387	136	215
388	136	214
389	136	214
390	137	213
391	137	212
392	137	212
393	137	211
394	137	211
395	138	210
396	138	210
397	138	209
398	138	209
399	139	208
400	139	208
401	139	207
402	139	207
403	140	206
404	140	206
405	140	205
406	140	205
407	140	204
408	141	204
409	141	203
410	141	202
411	141	202
412	142	201
413	142	201
414	142	200
415	142	200
416	142	199
417	143	199
418	143	198
419	143	198
420	143	197
421	144	197
422	144	196
423	144	196
424	144	195
425	145	195
426	145	194
427	145	194
428	145	193
429	145	193
430	146	192
431	146	192
432	146	192
433	146	191
434	147	191
435	147	190
436	147	190
437	147	189
438	147	189
439	148	188
440	148	188
441	148	187
442	148	187
443	149	186
444	149	186
445	149	185
446	149	185
447	150	184
448	150	184
449	150	183
450	150	183
451	150	183
452	151	182
453	151	182
454	151	181
455	151	181
456	152	180
457	152	180
458	152	179
459	152	179
460	153	178
461	153	178
462	153	178
463	153	177
464	153	177
465	154	176
466	154	176
467	154	175
468	154	175
469	155	174
470	155	174
471	155	174
472	155	173
473	156	173
474	156	172
475	156	172
476	156	171
477	156	171
478	157	170
479	157	170
480	157	170
481	157	169
482	158	169
483	158	168
484	158	168
485	158	167
486	158	167
487	159	166
488	159	166
489	159	166
490	159	165
491	160	165
492	160	164
493	160	164
494	160	163
495	160	163
496	161	163
497	161	162
498	161	162
499	161	161
500	162	161
501	162	160
502	162	160
503	162	160
504	162	159
505	163	159
506	163	158
507	163	158
508	163	158
509	164	157
510	164	157
511	164	156
512	164	156
513	165	156
514	165	155
515	165	155
516	165	154
517	166	154
518	166	154
519	166	153
520	166	153
521	166	152
522	167	152
523	167	152
524	167	151
525	167	151
526	168	150
527	168	150
528	168	150
529	168	149
530	168	149
531	169	148
532	169	148
533	169	148
534	169	147
535	170	147
536	170	146
537	170	146
538	170	146
539	171	145
540	171	145
541	171	144
542	171	144
543	171	144
544	172	143
545	172	143
546	172	142
547	172	142
548	173	142
549	173	141
550	173	141
551	173	141
552	173	140
553	174	140
554	174	139
555	174	139
556	174	139
557	175	138
558	175	138
559	175	137
560	175	137
561	176	137
562	176	136
563	176	136
564	176	136
565	176	135
566	177	135
567	177	134
568	177	134
569	177	134
570	178	133
571	178	133
572	178	132
573	178	132
574	178	132
575	179	131
576	179	131
577	179	131
578	179	130
579	180	130
580	180	129
581	180	129
582	180	129
583	180	128
584	181	128
585	181	128
586	181	127
587	181	127
588	182	127
589	182	126
590	182	126
591	182	125
592	182	125
593	183	125
594	183	124
595	183	124
596	183	124
597	184	123
598	184	123
599	184	123
600	184	122
601	185	122
602	185	121
603	185	121
604	185	121
605	185	120
606	186	120
607	186	120
608	186	119
609	186	119
610	187	119
611	187	118
612	187	118
613	187	118
614	187	117
615	188	117
616	188	116
617	188	116
618	188	116
619	189	115
620	189	115
621	189	115
622	189	114
623	190	114
624	190	114
625	190	113
626	190	113
627	191	113
628	191	112
629	191	112
630	191	112
631	191	111
632	192	111
633	192	111
634	192	110
635	192	110
636	193	110
637	193	109
638	193	109
639	193	108
640	193	108
641	194	108
642	194	107
643	194	107
644	194	107
645	195	106
646	195	106
647	195	106
648	195	105
649	195	105
650	196	105
651	196	104
652	196	104
653	196	104
654	197	103
655	197	103
656	197	103
657	197	102
658	198	102
659	198	102
