iter	Passed	Remaining
0	48	48419
1	49	24616
2	49	16603
3	50	12602
4	51	10204
5	51	8600
6	52	7462
7	53	6603
8	53	5935
9	54	5402
10	55	4958
11	55	4590
12	56	4280
13	56	4011
14	57	3782
15	58	3578
16	58	3400
17	59	3242
18	59	3097
19	60	2966
20	61	2848
21	61	2742
22	62	2645
23	62	2556
24	63	2467
25	63	2378
26	63	2296
27	63	2220
28	64	2149
29	64	2083
30	64	2021
31	64	1962
32	65	1908
33	65	1858
34	65	1810
35	65	1765
36	66	1722
37	66	1682
38	66	1643
39	66	1607
40	67	1572
41	67	1539
42	67	1507
43	67	1477
44	68	1448
45	68	1420
46	68	1394
47	68	1368
48	69	1343
49	69	1320
50	69	1298
51	70	1276
52	70	1256
53	70	1236
54	70	1217
55	71	1198
56	71	1180
57	71	1162
58	71	1146
59	72	1129
60	72	1114
61	72	1098
62	72	1083
63	73	1069
64	73	1055
65	73	1042
66	73	1029
67	74	1016
68	74	1004
69	74	992
70	74	980
71	75	969
72	75	958
73	75	947
74	75	936
75	76	926
76	76	916
77	76	907
78	77	897
79	77	888
80	77	879
81	77	870
82	77	860
83	78	852
84	78	844
85	78	836
86	78	828
87	79	820
88	79	813
89	79	805
90	79	798
91	80	791
92	80	784
93	80	777
94	80	771
95	81	764
96	81	758
97	81	751
98	81	745
99	82	739
100	82	733
101	82	728
102	82	722
103	83	716
104	83	711
105	83	706
106	83	700
107	84	695
108	84	690
109	84	685
110	85	680
111	85	676
112	85	671
113	85	666
114	86	661
115	86	657
116	86	652
117	86	648
118	86	643
119	87	639
120	87	635
121	87	630
122	87	626
123	88	623
124	88	619
125	88	615
126	88	611
127	89	607
128	89	604
129	89	600
130	89	596
131	90	593
132	90	589
133	90	586
134	90	582
135	91	579
136	91	576
137	91	573
138	92	569
139	92	566
140	92	563
141	92	559
142	92	556
143	93	553
144	93	550
145	93	547
146	93	544
147	94	542
148	94	539
149	94	536
150	94	533
151	95	530
152	95	528
153	95	525
154	95	522
155	96	520
156	96	517
157	96	515
158	96	512
159	97	510
160	97	507
161	97	504
162	97	502
163	98	499
164	98	497
165	98	495
166	98	493
167	99	490
168	99	488
169	99	486
170	99	484
171	100	481
172	100	480
173	100	478
174	101	476
175	101	474
176	101	472
177	101	470
178	102	468
179	102	466
180	102	464
181	102	462
182	103	460
183	103	458
184	103	456
185	103	454
186	104	452
187	104	450
188	104	448
189	104	446
190	105	445
191	105	443
192	105	441
193	105	439
194	106	437
195	106	436
196	106	434
197	106	432
198	107	430
199	107	428
200	107	427
201	107	425
202	107	423
203	108	421
204	108	420
205	108	418
206	108	416
207	109	415
208	109	413
209	109	411
210	109	410
211	109	408
212	110	407
213	110	405
214	110	403
215	111	403
216	111	401
217	111	400
218	111	398
219	112	397
220	112	395
221	112	394
222	112	392
223	112	391
224	113	389
225	113	388
226	113	387
227	113	385
228	114	384
229	114	382
230	114	381
231	114	380
232	115	378
233	115	377
234	115	376
235	115	374
236	116	373
237	116	372
238	116	371
239	116	369
240	117	368
241	117	367
242	117	366
243	117	364
244	118	363
245	118	362
246	118	361
247	118	360
248	119	359
249	119	357
250	119	356
251	119	355
252	120	354
253	120	353
254	120	352
255	120	350
256	121	349
257	121	348
258	121	347
259	121	346
260	122	345
261	122	344
262	122	343
263	122	342
264	123	341
265	123	340
266	123	339
267	123	338
268	124	337
269	124	336
270	124	335
271	124	334
272	125	333
273	125	332
274	125	331
275	125	330
276	126	329
277	126	328
278	126	327
279	126	326
280	127	325
281	127	324
282	127	323
283	127	322
284	128	321
285	128	320
286	128	319
287	128	318
288	129	317
289	129	316
290	129	315
291	129	315
292	130	314
293	130	313
294	130	312
295	130	311
296	131	310
297	131	309
298	131	308
299	131	307
300	132	307
301	132	306
302	132	305
303	132	304
304	133	303
305	133	302
306	133	301
307	133	300
308	134	299
309	134	298
310	134	298
311	134	297
312	134	296
313	135	295
314	135	294
315	135	293
316	135	292
317	136	291
318	136	291
319	136	290
320	136	289
321	137	288
322	137	287
323	137	287
324	137	286
325	138	285
326	138	284
327	138	284
328	138	283
329	139	282
330	139	281
331	139	281
332	139	280
333	140	279
334	140	278
335	140	278
336	140	277
337	141	276
338	141	275
339	141	275
340	141	274
341	142	273
342	142	272
343	142	272
344	142	271
345	143	270
346	143	269
347	143	269
348	143	268
349	144	267
350	144	267
351	144	266
352	144	265
353	145	264
354	145	264
355	145	263
356	145	262
357	146	262
358	146	261
359	146	260
360	146	259
361	147	259
362	147	258
363	147	257
364	147	257
365	148	256
366	148	255
367	148	255
368	148	254
369	149	253
370	149	253
371	149	252
372	149	252
373	150	251
374	150	250
375	150	250
376	150	249
377	151	248
378	151	248
379	151	247
380	151	246
381	152	246
382	152	245
383	152	244
384	152	244
385	153	243
386	153	243
387	153	242
388	153	241
389	154	241
390	154	240
391	154	239
392	154	239
393	155	238
394	155	238
395	155	237
396	155	236
397	156	236
398	156	235
399	156	235
400	156	234
401	157	233
402	157	233
403	157	232
404	157	231
405	158	231
406	158	230
407	158	230
408	158	229
409	159	228
410	159	228
411	159	227
412	159	227
413	160	226
414	160	226
415	160	225
416	160	224
417	161	224
418	161	223
419	161	223
420	161	222
421	162	221
422	162	221
423	162	220
424	162	220
425	162	219
426	163	219
427	163	218
428	163	217
429	163	217
430	164	216
431	164	216
432	164	215
433	164	214
434	164	214
435	165	213
436	165	213
437	165	212
438	165	212
439	166	211
440	166	210
441	166	210
442	166	209
443	167	209
444	167	208
445	167	208
446	167	207
447	168	207
448	168	206
449	168	205
450	168	205
451	168	204
452	169	204
453	169	203
454	169	203
455	169	202
456	170	202
457	170	201
458	170	201
459	170	200
460	171	200
461	171	199
462	171	199
463	171	198
464	172	198
465	172	197
466	172	197
467	172	196
468	173	196
469	173	195
470	173	195
471	173	194
472	174	194
473	174	193
474	174	193
475	174	192
476	175	192
477	175	191
478	175	191
479	175	190
480	176	190
481	176	189
482	176	189
483	176	188
484	177	188
485	177	187
486	177	187
487	177	186
488	178	186
489	178	185
490	178	185
491	178	184
492	178	184
493	179	183
494	179	183
495	179	182
496	179	182
497	180	181
498	180	181
499	180	180
500	180	180
501	181	179
502	181	179
503	181	178
504	181	178
505	181	177
506	182	177
507	182	176
508	182	176
509	182	175
510	183	175
511	183	174
512	183	174
513	183	173
514	184	173
515	184	173
516	184	172
517	184	172
518	185	171
519	185	171
520	185	170
521	185	170
522	185	169
523	186	169
524	186	168
525	186	168
526	186	167
527	187	167
528	187	166
529	187	166
530	187	165
531	188	165
532	188	164
533	188	164
534	188	164
535	188	163
536	189	163
537	189	162
538	189	162
539	189	161
540	190	161
541	190	160
542	190	160
543	190	159
544	190	159
545	191	158
546	191	158
547	191	158
548	191	157
549	192	157
550	192	156
551	192	156
552	192	155
553	192	155
554	193	154
555	193	154
556	193	154
557	193	153
558	194	153
559	194	152
560	194	152
561	194	151
562	195	151
563	195	150
564	195	150
565	195	150
566	195	149
567	196	149
568	196	148
569	196	148
570	196	147
571	197	147
572	197	146
573	197	146
574	197	146
575	197	145
576	198	145
577	198	144
578	198	144
579	198	144
580	199	143
581	199	143
582	199	142
583	199	142
584	200	141
585	200	141
586	200	141
587	200	140
588	200	140
589	201	139
590	201	139
591	201	138
592	201	138
593	202	138
594	202	137
595	202	137
596	202	136
597	202	136
598	203	136
599	203	135
600	203	135
601	203	134
602	204	134
603	204	133
604	204	133
605	204	133
606	205	132
607	205	132
608	205	131
609	205	131
610	205	131
611	206	130
612	206	130
613	206	129
614	206	129
615	207	129
616	207	128
617	207	128
618	207	127
619	208	127
620	208	127
621	208	126
622	208	126
623	208	125
624	209	125
625	209	125
626	209	124
627	209	124
628	210	123
629	210	123
630	210	123
631	210	122
632	210	122
633	211	121
634	211	121
635	211	121
636	211	120
637	212	120
638	212	119
639	212	119
640	212	119
641	212	118
642	213	118
643	213	117
644	213	117
645	213	117
646	214	116
647	214	116
648	214	116
649	214	115
650	214	115
651	215	114
652	215	114
653	215	114
654	215	113
655	216	113
656	216	112
657	216	112
658	216	112
659	216	111
660	217	111
661	217	111
662	217	110
663	217	110
664	218	109
665	218	109
666	218	109
667	218	108
668	218	108
669	219	107
670	219	107
671	219	107
672	219	106
673	220	106
674	220	106
675	220	105
676	220	105
677	221	104
678	221	104
679	221	104
680	221	103
681	221	103
682	222	103
683	222	102
684	222	102
685	222	101
686	223	101
687	223	101
688	223	100
689	223	100
690	223	100
691	224	99
692	224	99
693	224	99
694	224	98
695	225	98
696	225	97
697	225	97
698	225	97
699	226	96
700	226	96
701	226	96
702	226	95
703	227	95
704	227	95
705	227	94
706	227	94
707	227	94
708	228	93
709	228	93
710	228	92
711	228	92
712	229	92
713	229	91
714	229	91
715	229	91
716	230	90
717	230	90
718	230	90
719	230	89
720	230	89
721	231	88
722	231	88
723	231	88
724	231	87
725	232	87
726	232	87
727	232	86
728	232	86
729	232	86
730	233	85
731	233	85
732	233	85
733	233	84
734	234	84
735	234	84
736	234	83
737	234	83
738	234	82
739	235	82
740	235	82
741	235	81
742	235	81
743	236	81
744	236	80
745	236	80
746	236	80
747	236	79
748	237	79
749	237	79
750	237	78
751	237	78
752	238	78
753	238	77
754	238	77
755	238	77
756	239	76
757	239	76
758	239	76
759	239	75
760	239	75
761	240	75
762	240	74
763	240	74
764	240	73
765	241	73
766	241	73
767	241	72
768	241	72
769	241	72
770	242	71
771	242	71
772	242	71
773	242	70
774	243	70
775	243	70
776	243	69
777	243	69
778	243	69
779	244	68
780	244	68
781	244	68
782	244	67
783	245	67
784	245	67
785	245	66
786	245	66
787	245	66
788	246	65
789	246	65
790	246	65
791	246	64
792	247	64
793	247	64
794	247	63
795	247	63
796	248	63
797	248	62
798	248	62
799	248	62
800	248	61
801	249	61
802	249	61
803	249	60
804	249	60
805	250	60
806	250	59
807	250	59
808	250	59
809	251	58
810	251	58
811	251	58
812	251	57
